Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
Amaranth Leaves,2022,1,14.0,16.833333333333332,20.0
Amaranth Leaves,2022,2,15.071428571428571,18.25,21.5
Amaranth Leaves,2022,3,15.709677419354838,19.129032258064516,22.419354838709676
Amaranth Leaves,2022,4,16.3,19.883333333333333,23.233333333333334
Amaranth Leaves,2022,5,14.064516129032258,17.032258064516128,19.903225806451612
Amaranth Leaves,2022,6,10.833333333333334,13.216666666666667,15.5
Amaranth Leaves,2022,7,8.516129032258064,10.241935483870968,12.274193548387096
Amaranth Leaves,2022,8,8.741935483870968,10.5,12.612903225806452
Amaranth Leaves,2022,9,8.866666666666667,10.4,12.8
Amaranth Leaves,2022,10,9.0,10.758064516129032,13.0
Amaranth Leaves,2022,11,9.166666666666666,10.966666666666667,13.25
Amaranth Leaves,2022,12,10.32258064516129,12.53225806451613,14.82258064516129
Amaranth Leaves,2023,1,11.64516129032258,14.290322580645162,16.516129032258064
Amaranth Leaves,2023,2,13.0,15.839285714285714,18.5
Amaranth Leaves,2023,3,13.258064516129032,16.161290322580644,18.887096774193548
Amaranth Leaves,2023,4,12.033333333333333,14.75,17.133333333333333
Amaranth Leaves,2023,5,12.5,15.25,17.75
Amla,2022,1,61.666666666666664,74.83333333333333,87.83333333333333
Amla,2022,2,61.785714285714285,74.98214285714286,88.0
Amla,2022,3,60.483870967741936,73.35483870967742,86.1774193548387
Amla,2022,4,59.0,71.46666666666667,84.11666666666666
Amla,2022,5,65.0,78.6774193548387,92.66129032258064
Amla,2022,6,59.333333333333336,71.91666666666667,84.56666666666666
Amla,2022,7,60.483870967741936,73.35483870967742,86.1774193548387
Amla,2022,8,58.87096774193548,71.33870967741936,83.91935483870968
Amla,2022,9,56.0,67.75,79.9
Amla,2022,10,58.87096774193548,71.33870967741936,83.91935483870968
Amla,2022,11,61.333333333333336,74.41666666666667,87.36666666666666
Amla,2022,12,60.483870967741936,73.25806451612904,86.2258064516129
Amla,2023,1,65.96774193548387,79.88709677419355,94.01612903225806
Amla,2023,2,68.57142857142857,82.92857142857143,97.76785714285714
Amla,2023,3,65.64516129032258,79.51612903225806,93.54838709677419
Amla,2023,4,63.0,76.3,89.8
Amla,2023,5,56.0,67.75,79.9
Ash gourd,2022,1,23.333333333333332,28.166666666666668,33.0
Ash gourd,2022,2,24.678571428571427,29.839285714285715,35.089285714285715
Ash gourd,2022,3,18.225806451612904,22.016129032258064,25.919354838709676
Ash gourd,2022,4,19.6,23.7,27.9
Ash gourd,2022,5,19.838709677419356,23.951612903225808,28.225806451612904
Ash gourd,2022,6,19.433333333333334,23.4,27.6
Ash gourd,2022,7,21.096774193548388,25.370967741935484,30.016129032258064
Ash gourd,2022,8,25.612903225806452,30.967741935483872,36.693548387096776
Ash gourd,2022,9,23.866666666666667,28.8,34.083333333333336
Ash gourd,2022,10,25.677419354838708,31.161290322580644,36.596774193548384
Ash gourd,2022,11,23.833333333333332,28.833333333333332,33.983333333333334
Ash gourd,2022,12,25.870967741935484,31.258064516129032,36.96774193548387
Ash gourd,2023,1,25.483870967741936,30.822580645161292,36.41935483870968
Ash gourd,2023,2,25.214285714285715,30.535714285714285,35.982142857142854
Ash gourd,2023,3,24.129032258064516,29.161290322580644,34.46774193548387
Ash gourd,2023,4,21.466666666666665,25.816666666666666,30.533333333333335
Ash gourd,2023,5,21.9,26.4,30.9
Baby Corn,2022,1,57.333333333333336,69.33333333333333,81.5
Baby Corn,2022,2,52.42857142857143,63.625,74.71428571428571
Baby Corn,2022,3,46.645161290322584,56.46774193548387,66.51612903225806
Baby Corn,2022,4,45.2,54.666666666666664,64.43333333333334
Baby Corn,2022,5,48.774193548387096,59.04838709677419,69.51612903225806
Baby Corn,2022,6,54.36666666666667,65.7,77.41666666666667
Baby Corn,2022,7,51.83870967741935,62.75806451612903,73.95161290322581
Baby Corn,2022,8,56.483870967741936,68.43548387096774,80.56451612903226
Baby Corn,2022,9,69.06666666666666,83.6,98.4
Baby Corn,2022,10,69.03225806451613,83.61290322580645,98.45161290322581
Baby Corn,2022,11,71.56666666666666,86.56666666666666,101.98333333333333
Baby Corn,2022,12,69.0,83.56451612903226,98.33870967741936
Baby Corn,2023,1,65.25806451612904,78.96774193548387,93.04838709677419
Baby Corn,2023,2,65.53571428571429,79.28571428571429,93.5
Baby Corn,2023,3,60.193548387096776,72.75806451612904,85.7258064516129
Baby Corn,2023,4,60.53333333333333,73.31666666666666,86.35
Baby Corn,2023,5,63.7,76.9,90.8
Banana Flower,2022,1,17.0,20.333333333333332,24.166666666666668
Banana Flower,2022,2,17.571428571428573,21.25,24.964285714285715
Banana Flower,2022,3,18.06451612903226,21.967741935483872,25.70967741935484
Banana Flower,2022,4,18.233333333333334,22.033333333333335,25.966666666666665
Banana Flower,2022,5,18.516129032258064,22.419354838709676,26.322580645161292
Banana Flower,2022,6,17.433333333333334,21.233333333333334,24.833333333333332
Banana Flower,2022,7,15.838709677419354,19.112903225806452,22.516129032258064
Banana Flower,2022,8,14.709677419354838,17.903225806451612,20.983870967741936
Banana Flower,2022,9,14.733333333333333,17.883333333333333,20.983333333333334
Banana Flower,2022,10,15.064516129032258,18.403225806451612,21.387096774193548
Banana Flower,2022,11,14.966666666666667,18.183333333333334,21.233333333333334
Banana Flower,2022,12,15.96774193548387,19.387096774193548,22.85483870967742
Banana Flower,2023,1,16.161290322580644,19.516129032258064,23.048387096774192
Banana Flower,2023,2,16.642857142857142,20.214285714285715,23.589285714285715
Banana Flower,2023,3,17.612903225806452,21.274193548387096,25.016129032258064
Banana Flower,2023,4,19.166666666666668,23.2,27.25
Banana Flower,2023,5,17.2,21.1,24.55
Beetroot,2022,1,46.333333333333336,56.0,66.0
Beetroot,2022,2,48.0,58.125,68.5
Beetroot,2022,3,29.967741935483872,36.225806451612904,42.82258064516129
Beetroot,2022,4,22.9,27.616666666666667,32.733333333333334
Beetroot,2022,5,31.322580645161292,37.91935483870968,44.74193548387097
Beetroot,2022,6,36.733333333333334,44.53333333333333,52.21666666666667
Beetroot,2022,7,41.29032258064516,49.935483870967744,58.83870967741935
Beetroot,2022,8,40.03225806451613,48.37096774193548,57.0
Beetroot,2022,9,35.333333333333336,42.7,50.43333333333333
Beetroot,2022,10,40.064516129032256,48.61290322580645,57.096774193548384
Beetroot,2022,11,38.56666666666667,46.56666666666667,54.93333333333333
Beetroot,2022,12,35.354838709677416,42.774193548387096,50.33870967741935
Beetroot,2023,1,33.354838709677416,40.403225806451616,47.58064516129032
Beetroot,2023,2,36.82142857142857,44.589285714285715,52.392857142857146
Beetroot,2023,3,28.096774193548388,34.11290322580645,40.096774193548384
Beetroot,2023,4,34.3,41.65,48.81666666666667
Beetroot,2023,5,35.9,43.5,50.9
Bitter Gourd,2022,1,35.666666666666664,43.0,50.666666666666664
Bitter Gourd,2022,2,34.785714285714285,42.07142857142857,49.464285714285715
Bitter Gourd,2022,3,28.161290322580644,34.16129032258065,40.145161290322584
Bitter Gourd,2022,4,25.7,31.133333333333333,36.71666666666667
Bitter Gourd,2022,5,29.64516129032258,35.91935483870968,42.24193548387097
Bitter Gourd,2022,6,35.36666666666667,42.78333333333333,50.5
Bitter Gourd,2022,7,32.903225806451616,39.83870967741935,46.75806451612903
Bitter Gourd,2022,8,35.806451612903224,43.33870967741935,50.96774193548387
Bitter Gourd,2022,9,34.03333333333333,41.266666666666666,48.4
Bitter Gourd,2022,10,33.12903225806452,40.08064516129032,47.193548387096776
Bitter Gourd,2022,11,30.133333333333333,36.53333333333333,43.0
Bitter Gourd,2022,12,29.06451612903226,35.17741935483871,41.46774193548387
Bitter Gourd,2023,1,31.161290322580644,37.75806451612903,44.37096774193548
Bitter Gourd,2023,2,30.0,36.285714285714285,42.75
Bitter Gourd,2023,3,30.967741935483872,37.5,44.12903225806452
Bitter Gourd,2023,4,29.833333333333332,36.083333333333336,42.56666666666667
Bitter Gourd,2023,5,31.3,37.9,44.75
Bottle Gourd,2022,1,26.0,31.5,37.0
Bottle Gourd,2022,2,25.571428571428573,30.964285714285715,36.482142857142854
Bottle Gourd,2022,3,20.806451612903224,25.177419354838708,29.677419354838708
Bottle Gourd,2022,4,20.0,24.166666666666668,28.4
Bottle Gourd,2022,5,21.774193548387096,26.241935483870968,31.129032258064516
Bottle Gourd,2022,6,23.433333333333334,28.316666666666666,33.483333333333334
Bottle Gourd,2022,7,26.193548387096776,31.806451612903224,37.29032258064516
Bottle Gourd,2022,8,27.677419354838708,33.66129032258065,39.516129032258064
Bottle Gourd,2022,9,24.533333333333335,29.7,35.03333333333333
Bottle Gourd,2022,10,24.580645161290324,29.758064516129032,35.0
Bottle Gourd,2022,11,25.233333333333334,30.533333333333335,35.93333333333333
Bottle Gourd,2022,12,24.870967741935484,29.983870967741936,35.46774193548387
Bottle Gourd,2023,1,26.806451612903224,32.483870967741936,38.29032258064516
Bottle Gourd,2023,2,26.678571428571427,32.339285714285715,38.07142857142857
Bottle Gourd,2023,3,28.70967741935484,34.725806451612904,40.95161290322581
Bottle Gourd,2023,4,26.166666666666668,31.716666666666665,37.3
Bottle Gourd,2023,5,26.5,32.25,37.75
Brinjal,2022,1,28.333333333333332,34.5,40.333333333333336
Brinjal,2022,2,28.642857142857142,34.69642857142857,40.82142857142857
Brinjal,2022,3,25.516129032258064,30.93548387096774,36.354838709677416
Brinjal,2022,4,24.466666666666665,29.533333333333335,34.86666666666667
Brinjal,2022,5,25.93548387096774,31.338709677419356,37.08064516129032
Brinjal,2022,6,29.466666666666665,35.68333333333333,42.06666666666667
Brinjal,2022,7,30.35483870967742,36.83870967741935,43.29032258064516
Brinjal,2022,8,30.548387096774192,37.08064516129032,43.5
Brinjal,2022,9,23.766666666666666,28.783333333333335,33.86666666666667
Brinjal,2022,10,22.032258064516128,26.725806451612904,31.467741935483872
Brinjal,2022,11,21.533333333333335,26.0,30.75
Brinjal,2022,12,22.35483870967742,27.14516129032258,31.887096774193548
