Vegetable_Name,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
Amaranth Leaves,11.77659574468085,14.293617021276596,16.83723404255319
Amla,57.48936170212766,69.77659574468085,82.06702127659574
Ash gourd,22.602127659574467,27.31063829787234,32.2
Baby Corn,59.52553191489362,72.01702127659574,84.85
Banana Flower,16.217021276595744,19.664893617021278,23.051063829787235
Beetroot,35.265957446808514,42.66808510638298,50.26489361702128
Bitter Gourd,31.091489361702127,37.63510638297873,44.31595744680851
Bottle Gourd,24.77872340425532,29.98085106382979,35.36595744680851
Brinjal,25.291489361702126,30.603191489361702,36.08617021276596
Brinjal (Big),29.897872340425533,36.15212765957447,42.7
Broad Beans,38.11702127659574,46.14468085106383,54.33510638297872
Butter Beans,62.65531914893617,75.82127659574468,89.29148936170213
Cabbage,22.070212765957447,26.697872340425533,31.49148936170213
Capsicum,39.293617021276596,47.545744680851065,56.020212765957446
Carrot,42.98510638297872,52.02340425531915,61.25212765957447
Cauliflower,28.995744680851065,35.09468085106383,41.37021276595745
Cluster beans,44.14255319148936,53.42765957446809,62.90851063829787
Coconut,28.880851063829788,34.93723404255319,41.185106382978724
Colocasia,25.114893617021277,30.347872340425532,35.83404255319149
Colocasia Leaves,12.8,15.571276595744681,18.235106382978724
Coriander Leaves,8.77659574468085,10.62872340425532,12.55531914893617
Corn,26.504255319148935,32.05106382978723,37.80212765957447
Cucumber,20.623404255319148,24.927659574468084,29.401063829787233
Curry Leaves,31.44468085106383,38.09787234042553,44.84468085106383
Dill Leaves,12.793617021276596,15.529787234042553,18.24787234042553
Drumsticks,81.72340425531915,99.00531914893617,116.55106382978724
Elephant Yam,27.23617021276596,32.988297872340425,38.9
Fenugreek Leaves,10.136170212765958,12.318085106382979,14.52127659574468
French Beans,44.16808510638298,53.45744680851064,62.956382978723404
Garlic,58.780851063829786,71.13936170212766,83.77765957446809
Ginger,41.48297872340426,50.182978723404254,59.10425531914893
Green Chilli,38.47872340425532,46.579787234042556,54.804255319148936
Green Peas,72.43404255319149,87.68297872340426,103.22765957446809
Ivy Gourd,26.46808510638298,31.96808510638298,37.770212765957446
Ladies Finger,33.03829787234042,39.973404255319146,47.09893617021277
Lemon (Lime),55.47234042553192,67.1404255319149,79.06170212765957
Mango Raw,70.55531914893616,85.38404255319149,100.54893617021277
Mint Leaves,5.665957446808511,6.921276595744681,8.11063829787234
Mushroom,82.00425531914894,99.21170212765958,116.88936170212766
Mustard Leaves,15.75531914893617,19.115957446808512,22.46063829787234
Onion Big,25.23404255319149,30.561702127659576,35.95
Onion Green,40.01914893617021,48.37659574468085,56.990425531914894
Onion Small,41.736170212765956,50.53404255319149,59.494680851063826
Potato,28.72553191489362,34.74574468085106,40.930851063829785
Pumpkin,24.28936170212766,29.323404255319147,34.65851063829787
Radish,24.985106382978724,30.224468085106384,35.67765957446809
Raw Banana (Plantain),8.057446808510639,9.736170212765957,11.54468085106383
Ridge Gourd,28.482978723404255,34.494680851063826,40.65425531914894
Shallot (Pearl Onion),33.01489361702128,39.96808510638298,47.030851063829786
Snake Gourd,26.99148936170213,32.69468085106383,38.509574468085106
Sorrel Leaves,12.014893617021277,14.689361702127659,17.08723404255319
Spinach,12.585106382978724,15.367021276595745,17.92872340425532
Sweet Potato,38.68936170212766,46.89574468085107,55.1
Tomato,26.659574468085108,32.3,38.02553191489362
