Vegetable_Name,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
Amaranth Leaves,11.719148936170212,14.195744680851064,16.772340425531915
Amla,57.61702127659574,69.92127659574469,82.24468085106383
Ash gourd,22.627659574468087,27.395744680851063,32.27978723404255
Baby Corn,59.83404255319149,72.40425531914893,85.27659574468085
Banana Flower,16.646808510638298,20.18404255319149,23.661702127659574
Beetroot,35.52340425531915,42.95531914893617,50.65531914893617
Bitter Gourd,31.648936170212767,38.33404255319149,45.10212765957447
Bottle Gourd,24.846808510638297,30.061702127659576,35.42978723404255
Brinjal,25.148936170212767,30.42127659574468,35.83510638297872
Brinjal (Big),29.58936170212766,35.793617021276596,42.19787234042553
Broad Beans,38.42340425531915,46.513829787234044,54.738297872340425
Butter Beans,63.52553191489362,76.88085106382978,90.54361702127659
Cabbage,22.11063829787234,26.72127659574468,31.55531914893617
Capsicum,39.182978723404254,47.44255319148936,55.8936170212766
Carrot,43.04255319148936,52.10531914893617,61.33191489361702
Cauliflower,29.368085106382978,35.53617021276596,41.87234042553192
Cluster beans,43.91702127659575,53.15425531914894,62.567021276595746
Coconut,29.125531914893617,35.24787234042553,41.54042553191489
Colocasia,24.872340425531913,30.062765957446807,35.44468085106383
Colocasia Leaves,12.674468085106383,15.439361702127659,18.06382978723404
Coriander Leaves,8.642553191489363,10.457446808510639,12.34468085106383
Corn,26.438297872340424,31.985106382978724,37.7
Cucumber,20.485106382978724,24.782978723404256,29.175531914893618
Curry Leaves,31.27446808510638,37.86808510638298,44.603191489361706
Dill Leaves,12.717021276595744,15.453191489361702,18.136170212765958
Drumsticks,80.57446808510639,97.61808510638298,114.92234042553191
Elephant Yam,27.302127659574467,33.07234042553191,38.97659574468085
Fenugreek Leaves,10.108510638297872,12.235106382978723,14.490425531914894
French Beans,44.63191489361702,54.0063829787234,63.625531914893614
Garlic,58.99574468085106,71.44148936170212,84.1031914893617
Ginger,41.40212765957447,50.12127659574468,59.01702127659574
Green Chilli,38.85531914893617,47.02765957446808,55.36702127659574
Green Peas,72.61914893617022,87.91276595744681,103.4968085106383
Ivy Gourd,26.659574468085108,32.2563829787234,38.013829787234044
Ladies Finger,33.06170212765957,39.98085106382979,47.15106382978723
Lemon (Lime),55.838297872340426,67.58297872340425,79.58829787234042
Mango Raw,70.84893617021277,85.71808510638297,100.97340425531915
Mint Leaves,5.714893617021277,6.947872340425532,8.198936170212766
Mushroom,81.96382978723405,99.18191489361702,116.81170212765957
Mustard Leaves,15.297872340425531,18.53936170212766,21.767021276595745
Onion Big,25.451063829787234,30.812765957446807,36.280851063829786
Onion Green,39.9531914893617,48.317021276595746,56.94042553191489
Onion Small,41.15106382978723,49.85425531914893,58.66063829787234
Potato,28.85531914893617,34.909574468085104,41.13297872340426
Pumpkin,24.119148936170212,29.119148936170212,34.40638297872341
Radish,24.829787234042552,30.04255319148936,35.432978723404254
Raw Banana (Plantain),8.26595744680851,10.004255319148935,11.840425531914894
Ridge Gourd,28.574468085106382,34.59255319148936,40.79468085106383
Shallot (Pearl Onion),33.02553191489362,39.943617021276594,47.045744680851065
Snake Gourd,26.72127659574468,32.36808510638298,38.12765957446808
Sorrel Leaves,11.740425531914894,14.435106382978724,16.73404255319149
Spinach,12.842553191489362,15.632978723404255,18.30531914893617
Sweet Potato,38.96382978723404,47.244680851063826,55.477659574468085
Tomato,26.708510638297874,32.338297872340426,38.05
