,Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
7,Amaranth Leaves,2022,8,8.838709677419354,10.661290322580646,12.758064516129032
25,Amla,2022,9,50.666666666666664,61.766666666666666,72.43333333333334
39,Ash gourd,2022,6,17.866666666666667,21.633333333333333,25.35
55,Baby Corn,2022,5,45.41935483870968,54.983870967741936,64.7258064516129
76,Banana Flower,2022,9,14.6,17.683333333333334,20.866666666666667
88,Beetroot,2022,4,23.966666666666665,28.916666666666668,34.28333333333333
105,Bitter Gourd,2022,4,27.3,33.03333333333333,39.0
122,Bottle Gourd,2022,4,19.7,23.783333333333335,28.133333333333333
152,Brinjal,2023,5,20.5,24.65,29.2
157,Brinjal (Big),2022,5,23.322580645161292,28.177419354838708,33.32258064516129
173,Broad Beans,2022,4,25.2,30.366666666666667,35.916666666666664
190,Butter Beans,2022,4,42.6,51.56666666666667,60.7
220,Cabbage,2023,5,12.5,15.25,17.75
225,Capsicum,2022,5,32.32258064516129,39.24193548387097,46.064516129032256
241,Carrot,2022,4,27.933333333333334,33.733333333333334,39.833333333333336
258,Cauliflower,2022,4,23.433333333333334,28.333333333333332,33.266666666666666
279,Cluster beans,2022,8,32.87096774193548,39.79032258064516,46.88709677419355
293,Coconut,2022,5,18.0,21.758064516129032,25.64516129032258
309,Colocasia,2022,4,24.2,29.083333333333332,34.56666666666667
331,Colocasia Leaves,2022,9,11.866666666666667,14.533333333333333,16.966666666666665
353,Coriander Leaves,2023,2,6.0,7.303571428571429,8.5
362,Corn,2022,6,23.733333333333334,28.6,33.78333333333333
374,Cucumber,2022,1,13.0,15.833333333333334,18.5
398,Curry Leaves,2022,8,26.06451612903226,31.64516129032258,37.096774193548384
415,Dill Leaves,2022,8,10.548387096774194,12.67741935483871,15.112903225806452
432,Drumsticks,2022,8,37.74193548387097,45.79032258064516,53.83870967741935
447,Elephant Yam,2022,6,24.466666666666665,29.533333333333335,34.96666666666667
467,Fenugreek Leaves,2022,9,7.733333333333333,9.266666666666667,11.1
487,French Beans,2022,12,25.387096774193548,30.741935483870968,36.274193548387096
505,Garlic,2023,1,35.935483870967744,43.45161290322581,51.145161290322584
510,Ginger,2022,1,31.0,37.666666666666664,44.166666666666664
533,Green Chilli,2022,7,32.354838709677416,39.306451612903224,46.03225806451613
547,Green Peas,2022,4,46.8,56.6,66.8
572,Ivy Gourd,2022,12,23.129032258064516,27.85483870967742,32.903225806451616
581,Ladies Finger,2022,4,19.966666666666665,24.1,28.433333333333334
597,Lemon (Lime),2022,3,36.96774193548387,44.693548387096776,52.693548387096776
616,Mango Raw,2022,5,24.612903225806452,29.741935483870968,35.145161290322584
645,Mint Leaves,2023,5,3.9,4.65,5.65
654,Mushroom,2022,9,78.8,95.3,112.38333333333334
673,Mustard Leaves,2022,11,14.1,17.233333333333334,20.066666666666666
696,Onion Big,2023,5,19.6,23.6,27.9
698,Onion Green,2022,2,39.392857142857146,47.607142857142854,56.089285714285715
718,Onion Small,2022,5,27.161290322580644,32.854838709677416,38.79032258064516
732,Potato,2022,2,22.035714285714285,26.482142857142858,31.446428571428573
762,Pumpkin,2023,3,21.322580645161292,25.725806451612904,30.322580645161292
768,Radish,2022,4,19.933333333333334,24.166666666666668,28.416666666666668
783,Raw Banana (Plantain),2022,2,5.142857142857143,6.321428571428571,7.428571428571429
804,Ridge Gourd,2022,6,24.133333333333333,29.133333333333333,34.35
817,Shallot (Pearl Onion),2022,2,31.428571428571427,38.035714285714285,44.80357142857143
837,Snake Gourd,2022,5,19.29032258064516,23.274193548387096,27.596774193548388
860,Sorrel Leaves,2022,11,10.966666666666667,13.466666666666667,15.616666666666667
875,Spinach,2022,9,11.533333333333333,14.1,16.366666666666667
892,Sweet Potato,2022,9,37.53333333333333,45.483333333333334,53.483333333333334
917,Tomato,2023,5,17.4,21.3,24.85
